symbol,interval,limit
MOVRBTC,1d,1000
MOVRUSDT,1d,1000
MTLBTC,1d,1000
MTLUSDT,1d,1000
MUBARAKUSDT,1d,1000
NEARBTC,1d,1000
NEARUSDT,1d,1000
NEIROUSDT,1d,1000
NEOBTC,1d,1000
NEOUSDT,1d,1000
NEWTUSDT,1d,1000
NEXOBTC,1d,1000
NEXOUSDT,1d,1000
NFPBTC,1d,1000
NFPUSDT,1d,1000
NILUSDT,1d,1000
NKNUSDT,1d,1000
NMRBTC,1d,1000
NMRUSDT,1d,1000
NOMUSDT,1d,1000
NOTUSDT,1d,1000
NTRNUSDT,1d,1000
NXPCUSDT,1d,1000
OGBTC,1d,1000
OGNBTC,1d,1000
OGNUSDT,1d,1000
OGUSDT,1d,1000
OMBTC,1d,1000
OMUSDT,1d,1000
ONDOUSDT,1d,1000
ONEUSDT,1d,1000
ONGBTC,1d,1000
ONGUSDT,1d,1000
ONTBTC,1d,1000
ONTUSDT,1d,1000
OPBTC,1d,1000
OPENUSDT,1d,1000
OPUSDT,1d,1000
ORCAUSDT,1d,1000
ORDIBTC,1d,1000
ORDIUSDT,1d,1000
OSMOUSDT,1d,1000
OXTBTC,1d,1000
OXTUSDT,1d,1000
PARTIUSDT,1d,1000
PAXGBTC,1d,1000
PAXGUSDT,1d,1000
PENDLEBTC,1d,1000
PENDLEUSDT,1d,1000
PENGUUSDT,1d,1000
PEOPLEUSDT,1d,1000
PEPEUSDT,1d,1000
PHABTC,1d,1000
PHAUSDT,1d,1000
PHBBTC,1d,1000
PHBUSDT,1d,1000
PIVXBTC,1d,1000
PIVXUSDT,1d,1000
PIXELUSDT,1d,1000
PLUMEUSDT,1d,1000
PNUTBTC,1d,1000
PNUTUSDT,1d,1000
POLBTC,1d,1000
POLUSDT,1d,1000
POLYXBTC,1d,1000
POLYXUSDT,1d,1000
PONDUSDT,1d,1000
PORTALBTC,1d,1000
PORTALUSDT,1d,1000
PORTOUSDT,1d,1000
POWRBTC,1d,1000
POWRUSDT,1d,1000
PROMUSDT,1d,1000
PROVEUSDT,1d,1000
PSGUSDT,1d,1000
PUMPUSDT,1d,1000
PUNDIXUSDT,1d,1000
PYRBTC,1d,1000
PYRUSDT,1d,1000
PYTHBTC,1d,1000
PYTHUSDT,1d,1000
QIUSDT,1d,1000
QKCUSDT,1d,1000
QNTBTC,1d,1000
QNTUSDT,1d,1000
QTUMBTC,1d,1000
QTUMUSDT,1d,1000
QUICKUSDT,1d,1000
RADUSDT,1d,1000
RAREBTC,1d,1000
RAREUSDT,1d,1000
RAYUSDT,1d,1000
RDNTUSDT,1d,1000
REDBTC,1d,1000
REDUSDT,1d,1000
REIUSDT,1d,1000
RENDERBTC,1d,1000
RENDERUSDT,1d,1000
REQBTC,1d,1000
REQUSDT,1d,1000
RESOLVUSDT,1d,1000
REZUSDT,1d,1000
RIFBTC,1d,1000
RIFUSDT,1d,1000
RLCBTC,1d,1000
RLCUSDT,1d,1000
RONINBTC,1d,1000
RONINUSDT,1d,1000
ROSEBTC,1d,1000
ROSEUSDT,1d,1000
RPLUSDT,1d,1000
RSRUSDT,1d,1000
RUNEBTC,1d,1000
RUNEUSDT,1d,1000
RVNUSDT,1d,1000
SAGABTC,1d,1000
SAGAUSDT,1d,1000
SAHARAUSDT,1d,1000
SANDBTC,1d,1000
SANDUSDT,1d,1000
SANTOSBTC,1d,1000
SANTOSUSDT,1d,1000
SAPIENUSDT,1d,1000
SBTC,1d,1000
SCRBTC,1d,1000
SCRTBTC,1d,1000
SCRTUSDT,1d,1000
SCRUSDT,1d,1000
SCUSDT,1d,1000
SEIBTC,1d,1000
SEIUSDT,1d,1000
SFPBTC,1d,1000
SFPUSDT,1d,1000
SHELLBTC,1d,1000
SHELLUSDT,1d,1000
SHIBUSDT,1d,1000
SIGNUSDT,1d,1000
SKLBTC,1d,1000
SKLUSDT,1d,1000
SKYBTC,1d,1000
SKYUSDT,1d,1000
SLPUSDT,1d,1000
SNXBTC,1d,1000
SNXUSDT,1d,1000
SOLBTC,1d,1000
SOLUSDT,1d,1000
SOLVUSDT,1d,1000
SOMIUSDT,1d,1000
SOPHUSDT,1d,1000
SPELLUSDT,1d,1000
SPKUSDT,1d,1000
SSVBTC,1d,1000
SSVUSDT,1d,1000
STEEMBTC,1d,1000
STEEMUSDT,1d,1000
STGBTC,1d,1000
STGUSDT,1d,1000
STORJBTC,1d,1000
STORJUSDT,1d,1000
STOUSDT,1d,1000
STRAXBTC,1d,1000
STRAXUSDT,1d,1000
STRKUSDT,1d,1000
STXBTC,1d,1000
STXUSDT,1d,1000
SUIBTC,1d,1000
SUIUSDT,1d,1000
SUNUSDT,1d,1000
SUPERBTC,1d,1000
SUPERUSDT,1d,1000
SUSDT,1d,1000
SUSHIBTC,1d,1000
SUSHIUSDT,1d,1000
SXPBTC,1d,1000
SXPUSDT,1d,1000
SXTUSDT,1d,1000
SYNUSDT,1d,1000
SYRUPUSDT,1d,1000
SYSBTC,1d,1000
SYSUSDT,1d,1000
TAOBTC,1d,1000
TAOUSDT,1d,1000
TFUELBTC,1d,1000
TFUELUSDT,1d,1000
THETABTC,1d,1000
THETAUSDT,1d,1000
THEUSDT,1d,1000
TIABTC,1d,1000
TIAUSDT,1d,1000
TKOUSDT,1d,1000
TLMUSDT,1d,1000
TNSRUSDT,1d,1000
TONBTC,1d,1000
TONUSDT,1d,1000
TOWNSUSDT,1d,1000
TRBBTC,1d,1000
TRBUSDT,1d,1000
TREEUSDT,1d,1000
TRUMPUSDT,1d,1000
TRUUSDT,1d,1000
TRXBTC,1d,1000
TRXUSDT,1d,1000
TSTUSDT,1d,1000
TURBOUSDT,1d,1000
TURTLEUSDT,1d,1000
TUSDT,1d,1000
TUSDUSDT,1d,1000
TUTUSDT,1d,1000
TWTUSDT,1d,1000
UMABTC,1d,1000
UMAUSDT,1d,1000
UNIBTC,1d,1000
UNIUSDT,1d,1000
USD1USDT,1d,1000
USDCUSDT,1d,1000
USDEUSDT,1d,1000
USDPUSDT,1d,1000
USTCUSDT,1d,1000
USUALUSDT,1d,1000
UTKUSDT,1d,1000
VANAUSDT,1d,1000
VANRYUSDT,1d,1000
VELODROMEUSDT,1d,1000
VETBTC,1d,1000
VETUSDT,1d,1000
VICUSDT,1d,1000
VIRTUALUSDT,1d,1000
VOXELUSDT,1d,1000
VTHOUSDT,1d,1000
WALUSDT,1d,1000
WANBTC,1d,1000
WANUSDT,1d,1000
WAXPBTC,1d,1000
WAXPUSDT,1d,1000
WBETHUSDT,1d,1000
WBTC,1d,1000
WBTCBTC,1d,1000
WBTCUSDT,1d,1000
WCTUSDT,1d,1000
WIFBTC,1d,1000
WIFUSDT,1d,1000
WINUSDT,1d,1000
WLDBTC,1d,1000
WLDUSDT,1d,1000
WLFIUSDT,1d,1000
WOOUSDT,1d,1000
WUSDT,1d,1000
XAIUSDT,1d,1000
XECUSDT,1d,1000
XLMBTC,1d,1000
XLMUSDT,1d,1000
XNOBTC,1d,1000
XNOUSDT,1d,1000
XPLUSDT,1d,1000
XRPBTC,1d,1000
XRPUSDT,1d,1000
XTZBTC,1d,1000
XTZUSDT,1d,1000
XUSDUSDT,1d,1000
XVGUSDT,1d,1000
XVSBTC,1d,1000
XVSUSDT,1d,1000
YBUSDT,1d,1000
YFIBTC,1d,1000
YFIUSDT,1d,1000
YGGBTC,1d,1000
YGGUSDT,1d,1000
ZBTUSDT,1d,1000
ZECBTC,1d,1000
ZECUSDT,1d,1000
ZENBTC,1d,1000
ZENUSDT,1d,1000
ZILUSDT,1d,1000
ZKBTC,1d,1000
ZKCUSDT,1d,1000
ZKUSDT,1d,1000
ZROBTC,1d,1000
ZROUSDT,1d,1000
ZRXBTC,1d,1000
ZRXUSDT,1d,1000
